"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"05/11/2022";"0000";"13.6";"14.9";"13.6";"80.0";"80.0";"72.0";"10.1";"10.1";"9.9";"931.7";"931.7";"930.9";"3.3";"220.0";"9.0";"";"0.0"
"05/11/2022";"0100";"12.7";"13.6";"12.7";"82.0";"82.0";"80.0";"9.7";"10.1";"9.7";"931.9";"932.0";"931.7";"3.7";"224.0";"9.8";"";"0.0"
"05/11/2022";"0200";"12.1";"12.7";"12.1";"83.0";"83.0";"82.0";"9.4";"9.8";"9.4";"931.8";"932.0";"931.7";"3.7";"233.0";"9.3";"";"0.0"
"05/11/2022";"0300";"11.6";"12.1";"11.6";"84.0";"84.0";"82.0";"8.9";"9.4";"8.9";"931.0";"931.8";"931.0";"3.2";"233.0";"9.1";"";"0.0"
"05/11/2022";"0400";"11.2";"11.6";"11.2";"85.0";"85.0";"83.0";"8.8";"9.0";"8.8";"930.4";"931.0";"930.4";"2.8";"229.0";"8.0";"";"0.0"
"05/11/2022";"0500";"11.2";"11.2";"11.1";"86.0";"87.0";"85.0";"9.0";"9.0";"8.8";"929.6";"930.4";"929.6";"4.3";"237.0";"9.2";"";"0.0"
"05/11/2022";"0600";"10.8";"11.3";"10.8";"88.0";"88.0";"85.0";"8.9";"9.0";"8.9";"929.2";"929.6";"929.2";"2.9";"229.0";"9.7";"";"0.0"
"05/11/2022";"0700";"10.8";"10.8";"10.5";"90.0";"90.0";"88.0";"9.2";"9.2";"8.8";"929.6";"929.6";"929.2";"3.1";"231.0";"7.8";"";"0.0"
"05/11/2022";"0800";"10.8";"10.9";"10.6";"90.0";"90.0";"89.0";"9.2";"9.2";"9.0";"930.0";"930.0";"929.6";"3.7";"228.0";"8.8";"";"0.0"
"05/11/2022";"0900";"11.0";"11.0";"10.7";"90.0";"90.0";"90.0";"9.4";"9.4";"9.1";"930.6";"930.6";"930.0";"3.2";"230.0";"8.9";"52.60";"0.0"
"05/11/2022";"1000";"12.8";"12.8";"11.0";"80.0";"90.0";"80.0";"9.5";"9.8";"9.4";"931.3";"931.3";"930.6";"4.1";"214.0";"8.5";"748.80";"0.0"
"05/11/2022";"1100";"14.9";"14.9";"12.8";"75.0";"81.0";"74.0";"10.4";"10.4";"9.5";"931.9";"931.9";"931.3";"4.4";"215.0";"10.8";"1558.70";"0.0"
"05/11/2022";"1200";"16.6";"16.6";"14.7";"67.0";"74.0";"66.0";"10.3";"10.6";"9.8";"932.0";"932.1";"931.9";"4.3";"217.0";"9.8";"2872.40";"0.0"
"05/11/2022";"1300";"18.6";"18.8";"16.0";"60.0";"67.0";"59.0";"10.6";"11.4";"9.7";"931.9";"932.0";"931.8";"3.1";"221.0";"9.3";"3742.30";"0.0"
"05/11/2022";"1400";"20.1";"20.3";"18.3";"51.0";"61.0";"50.0";"9.6";"10.8";"8.9";"931.3";"931.9";"931.3";"3.0";"194.0";"7.8";"4114.90";"0.0"
"05/11/2022";"1500";"21.4";"21.4";"19.0";"48.0";"57.0";"46.0";"9.9";"11.0";"8.7";"930.9";"931.3";"930.9";"2.6";"235.0";"7.0";"3244.10";"0.0"
"05/11/2022";"1600";"21.0";"22.1";"20.0";"46.0";"51.0";"44.0";"8.8";"10.5";"8.4";"930.0";"930.9";"930.0";"3.3";"264.0";"7.0";"3535.50";"0.0"
"05/11/2022";"1700";"22.2";"22.7";"20.8";"42.0";"48.0";"41.0";"8.8";"10.0";"8.1";"929.1";"930.0";"929.1";"3.8";"236.0";"7.7";"4123.00";"0.0"
"05/11/2022";"1800";"22.1";"23.1";"21.0";"43.0";"45.0";"39.0";"8.9";"9.4";"7.7";"928.4";"929.1";"928.4";"3.8";"255.0";"7.6";"2989.70";"0.0"
"05/11/2022";"1900";"22.7";"22.7";"21.6";"40.0";"43.0";"38.0";"8.3";"8.8";"7.5";"927.9";"928.4";"927.9";"2.9";"236.0";"7.9";"2556.00";"0.0"
"05/11/2022";"2000";"21.4";"22.7";"21.3";"39.0";"41.0";"38.0";"6.8";"7.9";"6.8";"928.0";"928.0";"927.8";"4.2";"245.0";"9.2";"1827.30";"0.0"
"05/11/2022";"2100";"20.4";"21.5";"20.4";"40.0";"41.0";"38.0";"6.4";"7.3";"6.3";"928.4";"928.4";"928.0";"3.8";"244.0";"8.5";"752.90";"0.0"
"05/11/2022";"2200";"17.8";"20.4";"17.8";"56.0";"56.0";"40.0";"9.0";"9.2";"6.7";"929.2";"929.2";"928.4";"4.4";"239.0";"9.8";"33.40";"0.0"
