"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"05/11/2022";"0000";"16.7";"18.3";"16.7";"63.0";"63.0";"60.0";"9.7";"10.3";"9.6";"957.8";"957.8";"956.9";"";"";"";"";"0.0"
"05/11/2022";"0100";"15.7";"16.7";"15.7";"68.0";"68.0";"63.0";"9.8";"9.8";"9.6";"958.2";"958.2";"957.8";"";"";"";"";"0.0"
"05/11/2022";"0200";"14.8";"15.6";"14.8";"73.0";"73.0";"67.0";"10.0";"10.0";"9.5";"957.9";"958.2";"957.9";"";"";"";"";"0.0"
"05/11/2022";"0300";"14.3";"14.8";"14.3";"74.0";"74.0";"72.0";"9.7";"9.9";"9.7";"957.3";"957.9";"957.3";"";"";"";"";"0.0"
"05/11/2022";"0400";"13.7";"14.3";"13.7";"79.0";"79.0";"74.0";"10.2";"10.2";"9.7";"956.6";"957.3";"956.6";"";"";"";"";"0.0"
"05/11/2022";"0500";"13.3";"13.7";"13.3";"81.0";"82.0";"79.0";"10.2";"10.4";"10.2";"955.8";"956.6";"955.8";"";"";"";"";"0.0"
"05/11/2022";"0600";"13.0";"13.3";"13.0";"82.0";"82.0";"81.0";"10.0";"10.2";"10.0";"955.3";"955.8";"955.3";"";"";"";"";"0.0"
"05/11/2022";"0700";"12.7";"13.0";"12.7";"83.0";"84.0";"82.0";"10.0";"10.1";"9.9";"955.7";"955.7";"955.3";"";"";"";"";"0.0"
"05/11/2022";"0800";"12.1";"12.8";"12.1";"86.0";"86.0";"83.0";"9.9";"10.2";"9.8";"956.3";"956.3";"955.7";"";"";"";"";"0.0"
"05/11/2022";"0900";"12.4";"12.4";"12.0";"87.0";"88.0";"86.0";"10.2";"10.2";"9.9";"957.0";"957.0";"956.3";"";"";"";"32.30";"0.0"
"05/11/2022";"1000";"14.6";"14.6";"12.4";"78.0";"87.0";"78.0";"10.7";"10.7";"10.2";"957.8";"957.8";"957.0";"";"";"";"182.60";"0.0"
"05/11/2022";"1100";"16.8";"16.9";"14.5";"69.0";"78.0";"69.0";"11.2";"11.6";"10.5";"958.2";"958.2";"957.8";"";"";"";"740.10";"0.0"
"05/11/2022";"1200";"18.8";"19.3";"16.6";"56.0";"70.0";"55.0";"9.8";"11.6";"9.7";"958.2";"958.3";"958.1";"";"";"";"2303.20";"0.0"
"05/11/2022";"1300";"20.1";"20.6";"18.6";"54.0";"57.0";"53.0";"10.4";"11.0";"9.2";"958.0";"958.3";"958.0";"";"";"";"3131.20";"0.0"
"05/11/2022";"1400";"22.5";"22.5";"20.2";"48.0";"54.0";"48.0";"11.0";"11.3";"9.9";"957.5";"958.1";"957.5";"";"";"";"3599.00";"0.0"
"05/11/2022";"1500";"24.0";"24.0";"21.9";"43.0";"48.0";"42.0";"10.6";"11.1";"9.9";"956.8";"957.5";"956.8";"";"";"";"3814.10";"0.0"
"05/11/2022";"1600";"24.8";"25.0";"22.8";"39.0";"45.0";"37.0";"10.0";"10.5";"8.6";"955.9";"956.8";"955.9";"";"";"";"3800.90";"0.0"
"05/11/2022";"1700";"26.3";"26.3";"24.5";"32.0";"39.0";"31.0";"8.2";"10.0";"7.5";"954.8";"955.9";"954.8";"";"";"";"3556.90";"0.0"
"05/11/2022";"1800";"26.0";"26.9";"25.1";"30.0";"34.0";"30.0";"7.3";"8.2";"7.0";"954.0";"954.9";"954.0";"";"";"";"3076.10";"0.0"
"05/11/2022";"1900";"25.7";"26.6";"25.2";"31.0";"32.0";"30.0";"7.3";"8.2";"7.0";"953.5";"954.0";"953.5";"";"";"";"2313.30";"0.0"
"05/11/2022";"2000";"24.8";"26.2";"24.8";"32.0";"32.0";"30.0";"6.9";"7.8";"6.7";"953.4";"953.5";"953.3";"";"";"";"1447.40";"0.0"
"05/11/2022";"2100";"23.7";"25.1";"23.7";"35.0";"35.0";"32.0";"7.5";"7.6";"6.8";"953.7";"953.8";"953.4";"";"";"";"538.70";"0.0"
"05/11/2022";"2200";"21.6";"23.7";"21.6";"43.0";"44.0";"35.0";"8.5";"9.1";"7.6";"954.4";"954.4";"953.7";"";"";"";"14.80";"0.0"
"05/11/2022";"2300";"19.9";"21.7";"19.9";"55.0";"55.0";"41.0";"10.7";"10.7";"8.0";"955.5";"955.5";"954.4";"";"";"";"";"0.0"
"06/11/2022";"0000";"18.2";"19.9";"18.2";"60.0";"60.0";"54.0";"10.4";"10.7";"10.1";"956.3";"956.3";"955.5";"";"";"";"";"0.0"
"06/11/2022";"0100";"17.1";"18.2";"17.1";"65.0";"65.0";"60.0";"10.4";"10.4";"10.2";"956.9";"956.9";"956.3";"";"";"";"";"0.0"
"06/11/2022";"0200";"16.2";"17.1";"16.2";"68.0";"68.0";"65.0";"10.4";"10.4";"10.2";"956.9";"957.0";"956.7";"";"";"";"";"0.0"
"06/11/2022";"0300";"15.5";"16.3";"15.5";"69.0";"70.0";"68.0";"9.9";"10.4";"9.9";"956.5";"956.9";"956.5";"";"";"";"";"0.0"
"06/11/2022";"0400";"14.8";"15.5";"14.8";"73.0";"73.0";"69.0";"10.0";"10.0";"9.9";"956.1";"956.5";"956.1";"";"";"";"";"0.0"
"06/11/2022";"0500";"14.0";"14.8";"14.0";"78.0";"78.0";"73.0";"10.1";"10.2";"10.0";"955.6";"956.1";"955.6";"";"";"";"";"0.0"
"06/11/2022";"0600";"13.8";"14.0";"13.7";"79.0";"79.0";"78.0";"10.1";"10.2";"10.0";"955.3";"955.7";"955.2";"";"";"";"";"0.0"
"06/11/2022";"0700";"13.4";"13.8";"13.4";"81.0";"81.0";"79.0";"10.2";"10.2";"10.1";"955.5";"955.5";"955.3";"";"";"";"";"0.0"
"06/11/2022";"0800";"13.3";"13.5";"13.2";"83.0";"83.0";"80.0";"10.5";"10.5";"10.1";"956.0";"956.0";"955.5";"";"";"";"";"0.0"
"06/11/2022";"0900";"13.4";"13.5";"13.2";"84.0";"84.0";"83.0";"10.8";"10.8";"10.5";"956.6";"956.6";"955.9";"";"";"";"26.80";"0.0"
"06/11/2022";"1000";"15.8";"16.0";"13.4";"73.0";"84.0";"73.0";"10.9";"11.6";"10.8";"957.4";"957.4";"956.6";"";"";"";"218.20";"0.0"
"06/11/2022";"1100";"15.9";"16.7";"15.4";"72.0";"73.0";"69.0";"10.9";"11.2";"10.6";"958.0";"958.1";"957.4";"";"";"";"528.90";"0.0"
"06/11/2022";"1200";"18.4";"18.6";"15.9";"62.0";"72.0";"62.0";"10.9";"11.9";"10.8";"958.2";"958.3";"958.0";"";"";"";"1521.70";"0.0"
"06/11/2022";"1300";"19.5";"19.7";"18.4";"59.0";"62.0";"55.0";"11.1";"11.1";"10.1";"958.2";"958.3";"958.1";"";"";"";"2425.60";"0.0"
"06/11/2022";"1400";"22.5";"22.7";"19.2";"48.0";"58.0";"48.0";"10.9";"11.6";"10.6";"957.4";"958.2";"957.4";"";"";"";"3425.70";"0.0"
"06/11/2022";"1500";"21.1";"22.7";"20.5";"51.0";"55.0";"48.0";"10.7";"11.3";"10.3";"956.9";"957.5";"956.9";"";"";"";"1364.90";"0.0"
"06/11/2022";"1600";"23.0";"23.2";"21.1";"46.0";"52.0";"44.0";"10.8";"11.3";"9.8";"956.1";"956.9";"956.0";"";"";"";"2003.80";"0.0"
"06/11/2022";"1700";"24.3";"24.4";"22.4";"41.0";"48.0";"41.0";"10.1";"11.2";"9.8";"955.4";"956.1";"955.4";"";"";"";"1744.20";"0.0"
"06/11/2022";"1800";"24.5";"25.2";"23.4";"40.0";"42.0";"38.0";"9.9";"10.7";"9.4";"954.6";"955.4";"954.6";"";"";"";"1684.80";"0.0"
"06/11/2022";"1900";"24.4";"25.5";"24.1";"39.0";"42.0";"38.0";"9.5";"10.6";"9.4";"954.2";"954.6";"954.2";"";"";"";"1463.60";"0.0"
"06/11/2022";"2000";"23.8";"25.0";"23.8";"41.0";"41.0";"38.0";"9.9";"10.4";"9.5";"954.1";"954.2";"954.0";"";"";"";"1168.70";"0.0"
"06/11/2022";"2100";"23.1";"24.2";"23.1";"43.0";"43.0";"41.0";"9.7";"10.5";"9.6";"954.3";"954.3";"954.1";"";"";"";"496.80";"0.0"
"06/11/2022";"2200";"21.4";"23.1";"21.4";"48.0";"48.0";"43.0";"9.9";"10.1";"9.4";"954.9";"954.9";"954.3";"";"";"";"21.90";"0.0"
"06/11/2022";"2300";"20.1";"21.4";"20.1";"53.0";"54.0";"48.0";"10.3";"10.6";"9.9";"955.8";"955.8";"954.9";"";"";"";"";"0.0"
"07/11/2022";"0000";"18.7";"20.1";"18.7";"59.0";"59.0";"53.0";"10.6";"10.6";"10.3";"956.6";"956.6";"955.8";"";"";"";"";"0.0"
"07/11/2022";"0100";"17.6";"18.7";"17.5";"67.0";"67.0";"59.0";"11.3";"11.3";"10.6";"957.1";"957.2";"956.6";"";"";"";"";"0.0"
"07/11/2022";"0200";"16.7";"17.6";"16.7";"71.0";"71.0";"67.0";"11.3";"11.4";"11.3";"957.3";"957.3";"957.1";"";"";"";"";"0.0"
"07/11/2022";"0300";"16.0";"16.7";"16.0";"73.0";"73.0";"71.0";"11.1";"11.3";"11.1";"956.8";"957.3";"956.8";"";"";"";"";"0.0"
"07/11/2022";"0400";"15.0";"16.0";"15.0";"77.0";"77.0";"73.0";"11.0";"11.2";"11.0";"956.0";"956.8";"956.0";"";"";"";"";"0.0"
"07/11/2022";"0500";"14.4";"15.0";"14.3";"79.0";"79.0";"77.0";"10.7";"10.9";"10.7";"955.2";"956.0";"955.2";"";"";"";"";"0.0"
"07/11/2022";"0600";"14.0";"14.4";"13.9";"80.0";"81.0";"79.0";"10.7";"10.8";"10.6";"954.8";"955.2";"954.8";"";"";"";"";"0.0"
"07/11/2022";"0700";"13.9";"14.0";"13.8";"80.0";"81.0";"80.0";"10.6";"10.7";"10.5";"954.6";"954.8";"954.6";"";"";"";"";"0.0"
"07/11/2022";"0800";"13.2";"13.9";"13.2";"84.0";"84.0";"80.0";"10.6";"10.7";"10.4";"955.2";"955.2";"954.6";"";"";"";"";"0.0"
"07/11/2022";"0900";"13.8";"13.8";"13.0";"81.0";"85.0";"81.0";"10.7";"10.7";"10.5";"956.2";"956.2";"955.2";"";"";"";"31.80";"0.0"
"07/11/2022";"1000";"15.6";"15.6";"13.8";"72.0";"81.0";"72.0";"10.5";"10.7";"10.4";"956.8";"956.8";"956.2";"";"";"";"198.80";"0.0"
"07/11/2022";"1100";"17.4";"17.5";"15.5";"66.0";"72.0";"65.0";"10.9";"11.3";"10.4";"957.2";"957.2";"956.8";"";"";"";"598.40";"0.0"
"07/11/2022";"1200";"19.2";"19.3";"17.3";"59.0";"66.0";"59.0";"11.0";"11.4";"10.6";"957.4";"957.4";"957.2";"";"";"";"2367.90";"0.0"
"07/11/2022";"1300";"21.0";"21.2";"19.0";"54.0";"60.0";"53.0";"11.4";"11.6";"10.7";"957.1";"957.4";"957.1";"";"";"";"3195.40";"0.0"
"07/11/2022";"1400";"22.5";"23.1";"20.6";"46.0";"55.0";"46.0";"10.5";"11.8";"10.1";"956.8";"957.1";"956.7";"";"";"";"3685.70";"0.0"
"07/11/2022";"1500";"24.8";"24.9";"22.5";"39.0";"47.0";"36.0";"9.8";"10.9";"8.6";"955.9";"956.8";"955.9";"";"";"";"3897.40";"0.0"
"07/11/2022";"1600";"25.6";"26.3";"24.2";"35.0";"40.0";"33.0";"9.0";"10.1";"8.3";"954.9";"955.9";"954.9";"";"";"";"3851.90";"0.0"
"07/11/2022";"1700";"26.6";"27.3";"25.4";"30.0";"36.0";"29.0";"7.6";"9.3";"7.0";"953.9";"955.0";"953.9";"";"";"";"3580.00";"0.0"
"07/11/2022";"1800";"26.9";"28.3";"26.6";"27.0";"31.0";"25.0";"6.2";"8.1";"5.3";"953.0";"953.9";"953.0";"";"";"";"3057.30";"0.0"
