"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"05/11/2022";"0000";"19.2";"19.5";"18.3";"45.0";"51.0";"44.0";"6.9";"8.1";"6.9";"954.4";"954.4";"954.1";"1.3";"118.0";"2.8";"";"0.0"
"05/11/2022";"0100";"18.1";"19.2";"18.1";"48.0";"49.0";"44.0";"6.9";"7.4";"6.6";"955.0";"955.0";"954.4";"0.8";"139.0";"3.7";"";"0.0"
"05/11/2022";"0200";"17.7";"18.4";"17.4";"49.0";"50.0";"45.0";"6.7";"7.1";"6.3";"955.2";"955.2";"955.0";"1.7";"145.0";"4.7";"";"0.0"
"05/11/2022";"0300";"16.8";"17.9";"16.6";"54.0";"55.0";"48.0";"7.4";"7.6";"6.8";"954.6";"955.4";"954.6";"2.2";"141.0";"5.6";"";"0.0"
"05/11/2022";"0400";"16.0";"16.8";"15.7";"58.0";"60.0";"54.0";"7.8";"7.9";"7.3";"954.5";"954.7";"954.5";"1.5";"138.0";"5.6";"";"0.0"
"05/11/2022";"0500";"14.9";"16.0";"14.9";"64.0";"64.0";"58.0";"8.2";"8.2";"7.7";"953.9";"954.5";"953.9";"1.8";"139.0";"5.1";"";"0.0"
"05/11/2022";"0600";"14.4";"14.9";"14.2";"66.0";"67.0";"64.0";"8.1";"8.4";"8.1";"953.5";"953.9";"953.5";"2.2";"141.0";"5.6";"";"0.0"
"05/11/2022";"0700";"13.6";"14.5";"13.6";"69.0";"70.0";"66.0";"8.1";"8.2";"8.0";"954.0";"954.0";"953.5";"1.5";"137.0";"5.6";"";"0.0"
"05/11/2022";"0800";"13.1";"13.6";"13.1";"72.0";"72.0";"69.0";"8.2";"8.3";"8.1";"954.5";"954.5";"954.0";"1.7";"130.0";"4.7";"";"0.0"
"05/11/2022";"0900";"13.3";"13.3";"12.8";"73.0";"75.0";"72.0";"8.6";"8.8";"8.2";"955.2";"955.2";"954.5";"1.2";"118.0";"3.6";"19.60";"0.0"
"05/11/2022";"1000";"15.6";"15.6";"13.3";"65.0";"73.0";"65.0";"9.0";"9.3";"8.6";"956.0";"956.0";"955.2";"1.9";"129.0";"4.1";"262.00";"0.0"
"05/11/2022";"1100";"18.9";"18.9";"15.6";"54.0";"66.0";"54.0";"9.5";"10.2";"9.0";"956.7";"956.7";"956.0";"2.0";"119.0";"4.7";"668.20";"0.0"
"05/11/2022";"1200";"21.0";"21.2";"18.9";"48.0";"56.0";"47.0";"9.7";"10.3";"9.1";"956.6";"956.7";"956.6";"2.6";"100.0";"6.3";"1496.50";"0.0"
"05/11/2022";"1300";"23.6";"23.7";"21.0";"45.0";"50.0";"40.0";"10.9";"10.9";"8.9";"956.2";"956.7";"956.2";"2.0";"112.0";"6.0";"1954.40";"0.0"
"05/11/2022";"1400";"25.3";"26.3";"23.5";"35.0";"45.0";"33.0";"8.8";"11.2";"7.8";"955.6";"956.3";"955.6";"2.0";"143.0";"5.9";"2280.70";"0.0"
"05/11/2022";"1500";"27.4";"27.4";"25.2";"28.0";"40.0";"27.0";"7.1";"10.3";"6.6";"954.7";"955.6";"954.7";"1.6";"137.0";"5.8";"2475.80";"0.0"
"05/11/2022";"1600";"27.7";"27.9";"26.0";"26.0";"34.0";"25.0";"6.6";"9.5";"5.6";"954.0";"954.7";"954.0";"1.4";"224.0";"4.2";"1895.00";"0.0"
"05/11/2022";"1700";"28.2";"29.0";"26.4";"27.0";"32.0";"23.0";"7.1";"8.9";"4.8";"953.1";"954.0";"953.1";"1.2";"167.0";"5.1";"1992.50";"0.0"
"05/11/2022";"1800";"28.4";"29.0";"26.4";"24.0";"30.0";"22.0";"5.7";"7.8";"4.6";"952.2";"953.1";"952.2";"1.6";"162.0";"4.8";"1516.00";"0.0"
"05/11/2022";"1900";"28.2";"29.2";"27.9";"24.0";"28.0";"23.0";"5.9";"8.1";"5.3";"951.7";"952.2";"951.7";"1.4";"164.0";"4.8";"1400.30";"0.0"
"05/11/2022";"2000";"27.8";"28.7";"27.0";"24.0";"27.0";"23.0";"5.6";"7.1";"4.9";"951.6";"951.7";"951.5";"1.4";"138.0";"4.1";"826.30";"0.0"
"05/11/2022";"2100";"25.9";"27.9";"25.8";"28.0";"29.0";"24.0";"5.8";"6.7";"5.4";"951.9";"951.9";"951.6";"1.1";"139.0";"3.8";"303.90";"0.0"
"05/11/2022";"2200";"22.8";"25.9";"22.7";"37.0";"37.0";"28.0";"7.4";"7.4";"5.6";"952.6";"952.6";"951.9";"0.9";"103.0";"3.0";"8.80";"0.0"
"05/11/2022";"2300";"21.0";"22.7";"20.4";"41.0";"46.0";"37.0";"7.3";"8.5";"7.1";"953.2";"953.2";"952.6";"0.8";"105.0";"2.5";"";"0.0"
"06/11/2022";"0000";"20.6";"21.3";"20.3";"44.0";"45.0";"40.0";"7.9";"8.3";"7.3";"953.4";"953.4";"953.1";"1.1";"113.0";"2.3";"";"0.0"
"06/11/2022";"0100";"20.4";"20.6";"20.1";"46.0";"48.0";"44.0";"8.4";"8.6";"8.0";"953.9";"953.9";"953.4";"1.1";"167.0";"3.5";"";"0.0"
"06/11/2022";"0200";"20.2";"20.7";"20.0";"44.0";"47.0";"43.0";"7.6";"8.5";"7.6";"954.1";"954.1";"953.9";"1.8";"144.0";"6.0";"";"0.0"
"06/11/2022";"0300";"18.6";"20.2";"18.6";"49.0";"50.0";"44.0";"7.7";"8.0";"7.5";"954.0";"954.1";"954.0";"1.5";"142.0";"5.3";"";"0.0"
"06/11/2022";"0400";"17.9";"18.6";"17.9";"54.0";"54.0";"49.0";"8.4";"8.4";"7.4";"953.4";"954.0";"953.4";"2.2";"129.0";"6.4";"";"0.0"
"06/11/2022";"0500";"17.6";"18.0";"17.6";"57.0";"57.0";"54.0";"9.0";"9.1";"8.3";"953.0";"953.5";"953.0";"1.3";"146.0";"6.4";"";"0.0"
"06/11/2022";"0600";"17.2";"17.6";"17.2";"58.0";"59.0";"56.0";"9.0";"9.3";"8.8";"952.7";"953.1";"952.7";"2.1";"142.0";"6.8";"";"0.0"
