"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"05/11/2022";"0000";"17.3";"19.0";"17.3";"59.0";"59.0";"51.0";"9.3";"9.3";"8.5";"934.6";"934.6";"934.0";"2.6";"15.0";"6.5";"";"0.0"
"05/11/2022";"0100";"15.8";"17.3";"15.8";"67.0";"67.0";"59.0";"9.8";"9.8";"9.3";"935.0";"935.0";"934.6";"1.6";"41.0";"6.9";"";"0.0"
"05/11/2022";"0200";"14.7";"15.8";"14.7";"73.0";"73.0";"67.0";"9.9";"10.0";"9.7";"934.7";"935.0";"934.7";"1.8";"65.0";"5.3";"";"0.0"
"05/11/2022";"0300";"13.7";"14.7";"13.7";"77.0";"77.0";"73.0";"9.8";"9.9";"9.8";"934.6";"934.8";"934.5";"1.3";"74.0";"5.3";"";"0.0"
"05/11/2022";"0400";"12.9";"13.8";"12.9";"80.0";"80.0";"77.0";"9.5";"9.8";"9.5";"934.2";"934.6";"934.2";"0.9";"78.0";"5.3";"";"0.0"
"05/11/2022";"0500";"12.3";"12.9";"12.3";"82.0";"82.0";"80.0";"9.3";"9.6";"9.3";"933.6";"934.2";"933.6";"2.0";"69.0";"4.7";"";"0.0"
"05/11/2022";"0600";"11.8";"12.4";"11.8";"84.0";"84.0";"82.0";"9.2";"9.4";"9.1";"933.2";"933.6";"933.2";"1.1";"78.0";"4.8";"";"0.0"
"05/11/2022";"0700";"11.4";"11.8";"11.4";"85.0";"86.0";"84.0";"9.1";"9.2";"9.0";"933.3";"933.3";"933.0";"0.3";"108.0";"3.4";"";"0.0"
"05/11/2022";"0800";"11.2";"11.4";"11.1";"86.0";"86.0";"85.0";"8.8";"9.1";"8.8";"934.1";"934.1";"933.3";"0.3";"123.0";"2.1";"";"0.0"
"05/11/2022";"0900";"11.7";"11.7";"11.0";"83.0";"86.0";"83.0";"8.9";"8.9";"8.6";"934.9";"934.9";"934.1";"1.1";"82.0";"3.1";"78.40";"0.0"
"05/11/2022";"1000";"14.0";"14.0";"11.7";"73.0";"83.0";"73.0";"9.2";"9.5";"8.7";"935.7";"935.7";"934.9";"1.0";"81.0";"3.4";"662.70";"0.0"
"05/11/2022";"1100";"15.7";"15.8";"13.6";"68.0";"76.0";"67.0";"9.8";"10.2";"8.9";"936.3";"936.3";"935.7";"1.0";"68.0";"3.1";"1311.00";"0.0"
"05/11/2022";"1200";"18.8";"18.8";"15.7";"60.0";"69.0";"58.0";"11.0";"11.0";"9.7";"936.3";"936.4";"936.3";"0.8";"132.0";"2.9";"1877.00";"0.0"
"05/11/2022";"1300";"21.2";"21.2";"18.3";"51.0";"60.0";"51.0";"10.5";"11.2";"9.7";"936.0";"936.4";"936.0";"1.1";"196.0";"3.8";"2275.60";"0.0"
"05/11/2022";"1400";"23.1";"23.6";"21.0";"41.0";"53.0";"41.0";"9.1";"11.6";"9.1";"935.3";"936.0";"935.3";"2.3";"352.0";"4.5";"2605.30";"0.0"
"05/11/2022";"1500";"23.2";"24.1";"22.0";"44.0";"45.0";"38.0";"10.3";"10.6";"8.1";"934.7";"935.3";"934.7";"1.7";"82.0";"4.5";"2489.60";"0.0"
"05/11/2022";"1600";"24.5";"24.8";"22.8";"37.0";"44.0";"36.0";"8.9";"10.6";"8.3";"933.7";"934.7";"933.7";"1.8";"27.0";"5.1";"1938.50";"0.0"
"05/11/2022";"1700";"26.3";"26.3";"23.6";"31.0";"40.0";"29.0";"8.0";"10.3";"6.2";"932.8";"933.7";"932.8";"1.0";"150.0";"5.0";"2146.70";"0.0"
"05/11/2022";"1800";"25.0";"26.5";"24.1";"35.0";"36.0";"29.0";"8.5";"9.0";"6.7";"932.2";"932.9";"932.2";"1.6";"87.0";"5.6";"1298.80";"0.0"
"05/11/2022";"1900";"25.4";"26.3";"24.4";"32.0";"36.0";"30.0";"7.3";"9.2";"6.4";"931.9";"932.2";"931.9";"2.1";"35.0";"6.4";"1336.60";"0.0"
"05/11/2022";"2000";"24.2";"25.6";"24.2";"33.0";"33.0";"30.0";"6.9";"7.7";"6.4";"932.0";"932.0";"931.8";"2.3";"21.0";"6.0";"825.50";"0.0"
"05/11/2022";"2100";"22.7";"24.2";"22.7";"39.0";"39.0";"33.0";"7.9";"8.0";"6.7";"932.3";"932.3";"932.0";"1.2";"24.0";"5.8";"142.10";"0.0"
"05/11/2022";"2200";"21.2";"22.7";"21.1";"43.0";"43.0";"39.0";"8.0";"8.2";"7.9";"932.7";"932.7";"932.3";"1.0";"18.0";"3.9";"2.80";"0.0"
"05/11/2022";"2300";"19.8";"21.2";"19.8";"45.0";"46.0";"43.0";"7.6";"8.1";"7.6";"933.2";"933.2";"932.7";"0.8";"40.0";"3.9";"";"0.0"
"06/11/2022";"0000";"18.8";"19.8";"18.8";"49.0";"49.0";"45.0";"7.7";"7.7";"7.5";"933.5";"933.5";"933.2";"2.0";"19.0";"3.8";"";"0.0"
"06/11/2022";"0100";"16.8";"18.8";"16.8";"62.0";"62.0";"49.0";"9.4";"9.4";"7.8";"934.0";"934.0";"933.5";"1.8";"44.0";"5.5";"";"0.0"
"06/11/2022";"0200";"15.4";"16.8";"15.4";"73.0";"73.0";"62.0";"10.6";"10.6";"9.5";"934.0";"934.1";"934.0";"1.5";"53.0";"6.1";"";"0.0"
"06/11/2022";"0300";"14.5";"15.4";"14.5";"76.0";"76.0";"73.0";"10.3";"10.6";"10.3";"934.0";"934.1";"933.9";"1.0";"77.0";"6.5";"";"0.0"
"06/11/2022";"0400";"13.5";"14.5";"13.5";"80.0";"80.0";"76.0";"10.1";"10.5";"10.1";"933.7";"934.1";"933.7";"0.7";"79.0";"3.6";"";"0.0"
"06/11/2022";"0500";"13.0";"13.5";"13.0";"80.0";"81.0";"80.0";"9.7";"10.2";"9.7";"933.2";"933.7";"933.2";"1.1";"75.0";"3.6";"";"0.0"
"06/11/2022";"0600";"12.4";"13.0";"12.4";"79.0";"80.0";"79.0";"8.9";"9.6";"8.9";"933.0";"933.3";"933.0";"0.6";"89.0";"3.4";"";"0.0"
"06/11/2022";"0700";"11.9";"12.4";"11.9";"79.0";"80.0";"79.0";"8.4";"8.9";"8.4";"933.3";"933.4";"933.0";"0.7";"98.0";"3.1";"";"0.0"
"06/11/2022";"0800";"11.8";"11.9";"11.7";"81.0";"81.0";"79.0";"8.6";"8.6";"8.4";"933.9";"933.9";"933.3";"0.7";"87.0";"2.6";"";"0.0"
"06/11/2022";"0900";"12.1";"12.1";"11.8";"81.0";"81.0";"81.0";"9.0";"9.0";"8.6";"934.6";"934.7";"933.9";"1.4";"75.0";"3.8";"54.60";"0.0"
"06/11/2022";"1000";"14.4";"14.4";"12.1";"75.0";"81.0";"75.0";"10.0";"10.0";"8.9";"935.5";"935.5";"934.6";"0.4";"42.0";"3.4";"327.20";"0.0"
