"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"05/11/2022";"0000";"17.9";"18.6";"17.9";"56.0";"57.0";"53.0";"9.1";"9.3";"8.8";"941.8";"941.8";"941.4";"2.5";"154.0";"8.3";"";"0.0"
"05/11/2022";"0100";"16.9";"18.1";"16.9";"61.0";"61.0";"55.0";"9.3";"9.4";"9.0";"942.2";"942.2";"941.8";"2.4";"144.0";"8.2";"";"0.0"
"05/11/2022";"0200";"16.1";"16.9";"16.0";"64.0";"65.0";"61.0";"9.3";"9.5";"9.1";"942.4";"942.4";"942.2";"2.1";"155.0";"9.2";"";"0.0"
"05/11/2022";"0300";"14.9";"16.1";"14.8";"71.0";"71.0";"64.0";"9.7";"9.7";"9.3";"942.2";"942.6";"942.2";"2.2";"156.0";"7.8";"";"0.0"
"05/11/2022";"0400";"13.9";"14.9";"13.9";"75.0";"76.0";"71.0";"9.6";"9.9";"9.6";"941.6";"942.2";"941.5";"2.1";"169.0";"9.5";"";"0.0"
"05/11/2022";"0500";"13.5";"14.0";"13.4";"74.0";"78.0";"74.0";"8.9";"9.7";"8.9";"940.7";"941.6";"940.7";"3.2";"154.0";"9.8";"";"0.0"
"05/11/2022";"0600";"13.1";"13.5";"13.1";"72.0";"75.0";"70.0";"8.2";"8.9";"8.1";"940.1";"940.7";"940.1";"2.6";"152.0";"9.8";"";"0.0"
"05/11/2022";"0700";"12.6";"13.2";"12.6";"74.0";"74.0";"71.0";"8.1";"8.2";"8.0";"940.5";"940.5";"940.1";"2.1";"161.0";"8.4";"";"0.0"
"05/11/2022";"0800";"11.9";"12.6";"11.9";"81.0";"82.0";"74.0";"8.8";"8.9";"8.1";"940.8";"940.8";"940.4";"2.1";"161.0";"7.6";"";"0.0"
"05/11/2022";"0900";"11.5";"12.0";"11.4";"86.0";"86.0";"81.0";"9.3";"9.3";"8.8";"941.6";"941.7";"940.8";"2.3";"141.0";"6.0";"";"0.0"
"05/11/2022";"1000";"13.1";"13.2";"11.5";"79.0";"87.0";"79.0";"9.5";"10.0";"9.2";"942.3";"942.3";"941.6";"2.4";"147.0";"7.4";"288.50";"0.0"
"05/11/2022";"1100";"14.6";"14.7";"13.1";"76.0";"80.0";"73.0";"10.5";"10.5";"9.5";"942.9";"942.9";"942.2";"3.6";"129.0";"7.9";"1195.50";"0.0"
"05/11/2022";"1200";"18.0";"18.0";"14.6";"63.0";"77.0";"62.0";"10.9";"11.8";"10.0";"943.2";"943.2";"942.9";"2.7";"138.0";"7.9";"2098.70";"0.0"
"05/11/2022";"1300";"19.5";"19.8";"17.4";"54.0";"64.0";"54.0";"10.0";"11.0";"9.8";"943.2";"943.3";"943.1";"3.1";"122.0";"8.7";"2896.00";"0.0"
"05/11/2022";"1400";"21.5";"22.3";"19.4";"43.0";"57.0";"42.0";"8.4";"11.3";"8.4";"942.9";"943.2";"942.9";"3.1";"114.0";"8.0";"3489.70";"0.0"
"05/11/2022";"1500";"23.3";"24.7";"21.1";"40.0";"45.0";"36.0";"8.8";"10.6";"7.6";"942.3";"942.9";"942.3";"1.5";"148.0";"6.3";"3827.90";"0.0"
"05/11/2022";"1600";"23.4";"25.1";"23.2";"38.0";"42.0";"35.0";"8.4";"10.0";"7.4";"941.5";"942.3";"941.5";"1.7";"94.0";"5.4";"3915.20";"0.0"
"05/11/2022";"1700";"26.1";"26.2";"23.4";"41.0";"44.0";"35.0";"11.7";"11.7";"8.0";"940.5";"941.5";"940.5";"1.5";"255.0";"5.6";"3617.60";"0.0"
"05/11/2022";"1800";"26.3";"26.8";"24.7";"38.0";"41.0";"34.0";"10.8";"11.1";"8.4";"939.4";"940.5";"939.4";"1.3";"254.0";"4.8";"3362.80";"0.0"
"05/11/2022";"1900";"25.3";"26.4";"24.3";"35.0";"40.0";"33.0";"8.6";"11.0";"7.9";"938.7";"939.4";"938.7";"1.6";"172.0";"8.0";"2193.90";"0.0"
"05/11/2022";"2000";"25.3";"26.4";"25.1";"32.0";"36.0";"30.0";"7.3";"9.5";"6.8";"938.6";"938.7";"938.5";"1.4";"248.0";"4.0";"1923.80";"0.0"
"05/11/2022";"2100";"24.1";"25.5";"24.1";"37.0";"40.0";"31.0";"8.5";"9.7";"6.6";"938.8";"938.8";"938.6";"0.8";"188.0";"3.7";"985.70";"0.0"
"05/11/2022";"2200";"21.7";"24.1";"21.7";"43.0";"43.0";"37.0";"8.5";"9.3";"8.2";"939.3";"939.3";"938.8";"0.7";"219.0";"3.0";"86.70";"0.0"
"05/11/2022";"2300";"20.8";"21.8";"20.8";"46.0";"47.0";"42.0";"8.6";"9.2";"8.2";"939.8";"939.8";"939.2";"0.6";"207.0";"1.7";"";"0.0"
"06/11/2022";"0000";"19.4";"20.8";"19.3";"54.0";"55.0";"46.0";"9.8";"10.3";"8.7";"940.4";"940.4";"939.8";"1.7";"160.0";"4.4";"";"0.0"
"06/11/2022";"0100";"18.5";"19.6";"18.5";"55.0";"55.0";"52.0";"9.4";"9.9";"9.1";"940.8";"940.8";"940.3";"2.4";"159.0";"6.2";"";"0.0"
"06/11/2022";"0200";"17.2";"18.5";"17.2";"62.0";"63.0";"55.0";"9.9";"10.0";"9.4";"941.3";"941.3";"940.8";"2.3";"159.0";"8.0";"";"0.0"
"06/11/2022";"0300";"16.1";"17.2";"16.1";"66.0";"68.0";"62.0";"9.8";"10.4";"9.8";"941.2";"941.4";"941.1";"3.7";"158.0";"9.1";"";"0.0"
"06/11/2022";"0400";"15.1";"16.1";"15.1";"71.0";"71.0";"66.0";"9.8";"10.0";"9.7";"940.9";"941.3";"940.8";"2.6";"157.0";"9.8";"";"0.0"
"06/11/2022";"0500";"14.2";"15.1";"14.2";"78.0";"78.0";"70.0";"10.3";"10.4";"9.7";"940.5";"941.0";"940.5";"2.7";"162.0";"9.2";"";"0.0"
"06/11/2022";"0600";"13.7";"14.2";"13.5";"81.0";"83.0";"78.0";"10.5";"10.6";"10.3";"940.4";"940.5";"940.3";"2.7";"165.0";"10.1";"";"0.0"
"06/11/2022";"0700";"13.6";"13.7";"13.4";"80.0";"82.0";"80.0";"10.1";"10.6";"10.1";"940.0";"940.5";"940.0";"2.6";"167.0";"10.5";"";"0.0"
"06/11/2022";"0800";"13.4";"13.6";"13.4";"80.0";"81.0";"78.0";"10.0";"10.2";"9.9";"940.5";"940.5";"940.0";"2.6";"162.0";"10.4";"";"0.0"
"06/11/2022";"0900";"13.4";"13.5";"13.1";"81.0";"82.0";"79.0";"10.2";"10.3";"10.1";"941.2";"941.2";"940.4";"2.3";"175.0";"7.5";"";"0.0"
"06/11/2022";"1000";"14.6";"14.9";"13.4";"75.0";"81.0";"75.0";"10.3";"10.7";"10.1";"941.9";"941.9";"941.2";"1.7";"160.0";"6.6";"223.60";"0.0"
"06/11/2022";"1100";"15.4";"15.9";"14.2";"74.0";"78.0";"70.0";"10.8";"11.1";"10.1";"942.7";"942.7";"941.9";"2.1";"172.0";"6.1";"908.70";"0.0"
"06/11/2022";"1200";"16.8";"17.3";"15.5";"68.0";"74.0";"65.0";"10.8";"11.3";"10.3";"943.0";"943.1";"942.7";"3.8";"132.0";"8.2";"1474.20";"0.0"
"06/11/2022";"1300";"19.9";"20.5";"16.6";"57.0";"69.0";"56.0";"11.2";"12.3";"10.6";"943.2";"943.2";"943.0";"2.7";"139.0";"7.4";"2234.70";"0.0"
"06/11/2022";"1400";"20.8";"22.2";"19.7";"52.0";"59.0";"51.0";"10.6";"12.8";"10.3";"942.8";"943.2";"942.8";"3.2";"129.0";"7.6";"3162.00";"0.0"
"06/11/2022";"1500";"24.0";"24.1";"20.8";"46.0";"55.0";"46.0";"11.8";"12.7";"10.7";"942.4";"942.8";"942.4";"2.8";"126.0";"6.8";"3758.90";"0.0"
"06/11/2022";"1600";"25.0";"25.7";"23.0";"41.0";"48.0";"41.0";"10.9";"12.4";"10.4";"941.5";"942.4";"941.5";"2.3";"152.0";"7.1";"3852.30";"0.0"
"06/11/2022";"1700";"26.0";"26.4";"23.8";"40.0";"46.0";"40.0";"11.4";"12.5";"10.2";"940.7";"941.5";"940.7";"1.4";"182.0";"6.0";"3735.30";"0.0"
"06/11/2022";"1800";"27.3";"27.3";"25.2";"39.0";"43.0";"36.0";"12.1";"12.3";"10.3";"940.0";"940.7";"940.0";"1.2";"202.0";"5.4";"3449.00";"0.0"
"06/11/2022";"1900";"25.1";"27.6";"25.1";"37.0";"41.0";"36.0";"9.5";"12.2";"9.3";"939.5";"940.1";"939.5";"2.0";"149.0";"5.0";"2769.60";"0.0"
"06/11/2022";"2000";"26.2";"27.4";"25.0";"36.0";"40.0";"35.0";"10.0";"11.4";"9.6";"939.2";"939.5";"939.2";"1.3";"187.0";"4.5";"2273.40";"0.0"
"06/11/2022";"2100";"24.9";"26.3";"24.9";"42.0";"42.0";"35.0";"11.0";"11.3";"9.8";"939.3";"939.3";"939.2";"1.2";"172.0";"5.4";"1397.70";"0.0"
"06/11/2022";"2200";"22.3";"24.9";"22.3";"49.0";"49.0";"41.0";"11.0";"11.3";"10.6";"939.8";"939.8";"939.3";"1.7";"155.0";"5.5";"271.90";"0.0"
"06/11/2022";"2300";"21.1";"22.3";"21.0";"53.0";"54.0";"49.0";"11.0";"11.5";"10.7";"940.3";"940.3";"939.8";"2.2";"149.0";"5.5";"";"0.0"
"07/11/2022";"0000";"19.9";"21.1";"19.9";"55.0";"55.0";"52.0";"10.5";"11.2";"10.2";"940.9";"940.9";"940.3";"2.1";"149.0";"5.9";"";"0.0"
"07/11/2022";"0100";"19.1";"19.9";"19.1";"57.0";"57.0";"54.0";"10.4";"10.4";"10.2";"941.3";"941.3";"940.9";"2.8";"148.0";"6.6";"";"0.0"
"07/11/2022";"0200";"17.3";"19.1";"17.3";"67.0";"67.0";"57.0";"11.1";"11.1";"10.4";"941.9";"941.9";"941.3";"3.1";"145.0";"9.7";"";"0.0"
"07/11/2022";"0300";"16.3";"17.3";"16.2";"70.0";"71.0";"67.0";"10.9";"11.2";"10.9";"941.5";"942.0";"941.5";"2.2";"127.0";"9.1";"";"0.0"
