"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"05/11/2022";"0000";"16.1";"17.5";"16.1";"60.0";"60.0";"54.0";"8.4";"8.8";"8.0";"922.7";"922.7";"922.1";"4.0";"141.0";"8.0";"";"0.0"
"05/11/2022";"0100";"14.8";"16.1";"14.8";"67.0";"67.0";"60.0";"8.7";"8.7";"8.4";"923.2";"923.3";"922.7";"3.7";"128.0";"10.6";"";"0.0"
"05/11/2022";"0200";"13.8";"14.8";"13.8";"72.0";"72.0";"67.0";"8.8";"8.8";"8.7";"923.2";"923.3";"923.1";"3.6";"129.0";"10.2";"";"0.0"
"05/11/2022";"0300";"12.9";"13.8";"12.9";"77.0";"77.0";"72.0";"8.9";"8.9";"8.8";"922.7";"923.2";"922.7";"2.7";"119.0";"9.0";"";"0.0"
"05/11/2022";"0400";"12.1";"12.9";"12.1";"81.0";"81.0";"77.0";"8.9";"9.0";"8.9";"922.2";"922.7";"922.2";"2.6";"119.0";"8.3";"";"0.0"
"05/11/2022";"0500";"11.6";"12.1";"11.5";"83.0";"83.0";"81.0";"8.8";"8.9";"8.7";"921.5";"922.2";"921.5";"2.0";"118.0";"8.3";"";"0.0"
"05/11/2022";"0600";"11.4";"11.6";"11.4";"84.0";"84.0";"83.0";"8.7";"8.8";"8.7";"921.1";"921.6";"921.1";"2.2";"114.0";"6.6";"";"0.0"
"05/11/2022";"0700";"11.1";"11.4";"11.1";"85.0";"85.0";"84.0";"8.8";"8.9";"8.7";"921.6";"921.6";"921.1";"1.3";"114.0";"6.0";"";"0.0"
"05/11/2022";"0800";"10.9";"11.2";"10.9";"86.0";"86.0";"85.0";"8.7";"8.9";"8.6";"922.1";"922.1";"921.6";"1.0";"119.0";"6.0";"";"0.0"
"05/11/2022";"0900";"11.1";"11.1";"10.8";"85.0";"86.0";"85.0";"8.8";"8.8";"8.6";"923.0";"923.0";"922.1";"1.6";"119.0";"4.0";"30.00";"0.0"
"05/11/2022";"1000";"14.1";"14.1";"11.1";"78.0";"85.0";"77.0";"10.2";"10.2";"8.8";"923.7";"923.7";"923.0";"1.5";"118.0";"4.9";"663.40";"0.0"
"05/11/2022";"1100";"16.9";"16.9";"13.8";"68.0";"78.0";"66.0";"10.8";"10.8";"9.4";"924.1";"924.1";"923.7";"1.6";"242.0";"5.0";"1546.00";"0.0"
"05/11/2022";"1200";"18.8";"19.0";"16.7";"59.0";"68.0";"59.0";"10.8";"11.2";"10.1";"924.0";"924.2";"924.0";"1.6";"275.0";"5.0";"2413.50";"0.0"
"05/11/2022";"1300";"19.6";"19.9";"18.4";"55.0";"61.0";"54.0";"10.3";"11.4";"9.8";"923.8";"924.0";"923.8";"1.9";"298.0";"6.1";"2977.50";"0.0"
"05/11/2022";"1400";"20.5";"21.7";"19.5";"52.0";"57.0";"49.0";"10.2";"11.8";"9.9";"923.3";"923.9";"923.3";"2.0";"297.0";"5.6";"2931.30";"0.0"
"05/11/2022";"1500";"22.0";"22.4";"20.1";"46.0";"54.0";"46.0";"9.7";"11.2";"9.7";"922.6";"923.3";"922.6";"2.1";"277.0";"5.7";"2088.00";"0.0"
"05/11/2022";"1600";"22.0";"23.2";"21.5";"46.0";"50.0";"43.0";"9.8";"11.5";"9.1";"921.7";"922.6";"921.7";"1.5";"182.0";"5.4";"2665.70";"0.0"
"05/11/2022";"1700";"23.0";"23.9";"21.8";"42.0";"47.0";"39.0";"9.5";"11.1";"8.2";"920.8";"921.7";"920.8";"0.9";"181.0";"5.1";"1831.10";"0.0"
"05/11/2022";"1800";"24.1";"24.4";"22.5";"38.0";"45.0";"36.0";"9.0";"11.1";"8.3";"919.9";"920.8";"919.9";"1.2";"74.0";"4.6";"2407.90";"0.0"
"05/11/2022";"1900";"23.4";"25.1";"22.8";"36.0";"39.0";"33.0";"7.4";"9.6";"6.4";"919.4";"919.9";"919.4";"1.0";"160.0";"5.7";"2016.80";"0.0"
"05/11/2022";"2000";"22.9";"23.9";"22.9";"39.0";"41.0";"36.0";"8.2";"9.4";"7.5";"919.5";"919.5";"919.4";"2.4";"300.0";"5.4";"1126.60";"0.0"
"05/11/2022";"2100";"21.4";"22.8";"21.4";"42.0";"43.0";"39.0";"8.1";"9.1";"8.0";"920.0";"920.0";"919.5";"2.1";"127.0";"5.9";"342.90";"0.0"
"05/11/2022";"2200";"20.1";"21.4";"20.0";"46.0";"47.0";"42.0";"8.2";"8.4";"8.1";"920.6";"920.6";"920.0";"1.2";"152.0";"4.5";"15.80";"0.0"
"05/11/2022";"2300";"18.7";"20.1";"18.6";"51.0";"51.0";"46.0";"8.2";"8.3";"8.1";"921.1";"921.1";"920.6";"0.9";"148.0";"4.5";"";"0.0"
"06/11/2022";"0000";"17.0";"18.7";"17.0";"63.0";"63.0";"50.0";"9.8";"9.8";"8.0";"921.8";"921.8";"921.1";"4.3";"136.0";"10.7";"";"0.0"
"06/11/2022";"0100";"15.6";"17.0";"15.6";"69.0";"69.0";"63.0";"10.0";"10.1";"9.8";"922.2";"922.2";"921.7";"3.5";"124.0";"11.6";"";"0.0"
"06/11/2022";"0200";"14.5";"15.6";"14.5";"74.0";"74.0";"69.0";"9.9";"10.0";"9.9";"922.5";"922.5";"922.2";"3.0";"124.0";"8.9";"";"0.0"
"06/11/2022";"0300";"13.7";"14.5";"13.7";"77.0";"77.0";"74.0";"9.7";"9.9";"9.7";"922.3";"922.5";"922.3";"2.7";"123.0";"8.1";"";"0.0"
"06/11/2022";"0400";"13.3";"13.7";"13.3";"77.0";"78.0";"77.0";"9.4";"9.7";"9.4";"921.7";"922.3";"921.7";"3.1";"120.0";"9.1";"";"0.0"
