"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"05/11/2022";"0000";"12.9";"13.0";"12.6";"100.0";"100.0";"87.0";"12.9";"12.9";"11.0";"932.1";"932.1";"931.9";"1.5";"162.0";"5.1";"";"0.0"
"05/11/2022";"0100";"13.2";"13.3";"12.8";"100.0";"100.0";"99.0";"13.2";"13.2";"12.8";"932.2";"932.2";"932.0";"2.8";"156.0";"6.8";"";"0.0"
"05/11/2022";"0200";"12.5";"13.2";"12.4";"100.0";"100.0";"99.0";"12.5";"13.2";"12.4";"932.0";"932.2";"932.0";"2.3";"158.0";"7.4";"";"0.0"
"05/11/2022";"0300";"12.6";"12.9";"12.4";"100.0";"100.0";"100.0";"12.6";"12.9";"12.4";"931.3";"932.0";"931.3";"3.2";"129.0";"6.7";"";"0.2"
"05/11/2022";"0400";"12.6";"12.7";"12.5";"100.0";"100.0";"100.0";"12.6";"12.7";"12.5";"930.5";"931.3";"930.5";"2.9";"118.0";"6.7";"";"0.2"
"05/11/2022";"0500";"11.9";"12.6";"11.7";"100.0";"100.0";"100.0";"11.9";"12.6";"11.7";"930.0";"930.5";"930.0";"1.6";"123.0";"6.8";"";"0.4"
"05/11/2022";"0600";"11.9";"12.0";"11.8";"100.0";"100.0";"100.0";"11.9";"12.0";"11.8";"929.5";"930.0";"929.5";"1.0";"147.0";"3.6";"";"0.0"
"05/11/2022";"0700";"12.1";"12.4";"11.9";"100.0";"100.0";"100.0";"12.0";"12.4";"11.9";"929.6";"929.6";"929.4";"2.6";"139.0";"5.1";"";"0.2"
"05/11/2022";"0800";"11.9";"12.1";"11.8";"100.0";"100.0";"100.0";"11.9";"12.1";"11.8";"929.9";"929.9";"929.6";"1.8";"111.0";"5.9";"";"0.0"
"05/11/2022";"0900";"12.6";"12.7";"11.9";"100.0";"100.0";"100.0";"12.5";"12.7";"11.9";"930.7";"930.7";"929.9";"0.7";"124.0";"4.0";"63.20";"0.0"
"05/11/2022";"1000";"14.1";"14.3";"12.5";"88.0";"100.0";"87.0";"12.0";"13.2";"11.8";"931.3";"931.3";"930.7";"2.7";"130.0";"4.6";"690.50";"0.0"
"05/11/2022";"1100";"14.4";"15.0";"13.9";"84.0";"91.0";"81.0";"11.7";"13.2";"11.3";"932.1";"932.1";"931.3";"2.9";"110.0";"6.6";"1286.90";"0.0"
"05/11/2022";"1200";"16.3";"16.6";"14.3";"69.0";"87.0";"69.0";"10.5";"12.9";"10.5";"932.2";"932.2";"932.1";"2.7";"121.0";"5.8";"1906.60";"0.0"
"05/11/2022";"1300";"16.6";"17.5";"15.8";"68.0";"76.0";"63.0";"10.7";"12.2";"9.9";"932.1";"932.2";"932.0";"4.3";"147.0";"8.0";"2564.70";"0.0"
"05/11/2022";"1400";"18.1";"18.7";"16.3";"61.0";"71.0";"55.0";"10.5";"11.8";"8.9";"931.8";"932.1";"931.7";"3.9";"126.0";"8.9";"3687.70";"0.0"
"05/11/2022";"1500";"18.1";"19.2";"17.1";"56.0";"66.0";"55.0";"9.2";"11.8";"8.7";"931.4";"931.8";"931.3";"4.0";"118.0";"8.2";"3378.60";"0.0"
"05/11/2022";"1600";"18.4";"19.0";"17.3";"64.0";"70.0";"56.0";"11.6";"12.5";"9.4";"930.7";"931.4";"930.7";"4.8";"152.0";"8.9";"3148.90";"0.0"
"05/11/2022";"1700";"18.3";"18.5";"17.2";"66.0";"70.0";"59.0";"11.9";"12.3";"10.1";"930.1";"930.7";"930.1";"3.6";"132.0";"9.0";"2450.00";"0.0"
"05/11/2022";"1800";"17.1";"18.4";"16.8";"73.0";"74.0";"64.0";"12.2";"12.7";"10.6";"929.8";"930.1";"929.8";"3.8";"127.0";"9.8";"1776.70";"0.0"
"05/11/2022";"1900";"16.6";"18.0";"15.9";"74.0";"78.0";"69.0";"11.9";"12.8";"10.7";"929.4";"929.8";"929.4";"4.4";"139.0";"9.2";"1336.70";"0.0"
"05/11/2022";"2000";"15.7";"17.0";"15.2";"77.0";"81.0";"68.0";"11.8";"12.2";"10.7";"929.8";"929.8";"929.4";"4.0";"141.0";"9.0";"808.40";"0.0"
"05/11/2022";"2100";"14.8";"15.7";"14.8";"77.0";"79.0";"74.0";"10.8";"11.7";"10.5";"930.3";"930.3";"929.8";"2.8";"142.0";"10.6";"268.90";"0.0"
"05/11/2022";"2200";"13.8";"14.8";"13.7";"87.0";"88.0";"77.0";"11.7";"11.8";"10.7";"930.8";"930.8";"930.3";"2.8";"155.0";"8.2";"18.60";"0.0"
